"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00310375","GAYLORD BAY, NC US","2010-09-04",,,"0.00","0.0","0.0","90","67",
"USC00310375","GAYLORD BAY, NC US","2010-09-05",,,"0.00","0.0","0.0","87","67",
"USC00310375","GAYLORD BAY, NC US","2010-09-06",,,"0.00","0.0","0.0","84","69",
"USC00310375","GAYLORD BAY, NC US","2010-09-07",,,"0.00","0.0","0.0","83","67","74"
"USC00310375","GAYLORD BAY, NC US","2010-09-08",,,"0.00","0.0","0.0","85","72","73"
"USC00310375","GAYLORD BAY, NC US","2010-09-09",,,"0.00","0.0","0.0","92","70","71"
"USC00310375","GAYLORD BAY, NC US","2010-09-10",,,"0.00","0.0","0.0","88","67","67"
"USC00310375","GAYLORD BAY, NC US","2010-09-11",,,"0.00","0.0","0.0","88","67",
"USC00310375","GAYLORD BAY, NC US","2010-09-12",,,"0.00","0.0","0.0","83","68",
"USC00310375","GAYLORD BAY, NC US","2010-09-13",,,"0.40","0.0","0.0","76","66","67"
"USC00310375","GAYLORD BAY, NC US","2010-09-14",,,"0.00","0.0","0.0","82","64","66"
"USC00310375","GAYLORD BAY, NC US","2010-09-15",,,"0.00","0.0","0.0","92","66","74"
"USC00310375","GAYLORD BAY, NC US","2010-09-16",,,"0.00","0.0","0.0","92","66","71"
"USC00310375","GAYLORD BAY, NC US","2010-09-17",,,"0.00","0.0","0.0","89","71","73"
"USC00310375","GAYLORD BAY, NC US","2010-09-18",,,"0.00","0.0","0.0","89","69",
"USC00310375","GAYLORD BAY, NC US","2010-09-19",,,"0.00","0.0","0.0","88","65",
"USC00310375","GAYLORD BAY, NC US","2010-09-20",,,"0.00","0.0","0.0","85","66","69"
"USC00310375","GAYLORD BAY, NC US","2010-09-21",,,"0.00","0.0","0.0","88","69","70"
"USC00310375","GAYLORD BAY, NC US","2010-09-22",,,"0.00","0.0","0.0","79","68","70"
"USC00310375","GAYLORD BAY, NC US","2010-09-23",,,"0.00","0.0","0.0","89","70","72"
"USC00310375","GAYLORD BAY, NC US","2010-09-24",,,"0.00","0.0","0.0","92","71","74"
"USC00310375","GAYLORD BAY, NC US","2010-09-25",,,"0.00","0.0","0.0","91","72",
"USC00310375","GAYLORD BAY, NC US","2010-09-26",,,"0.00","0.0","0.0","91","68",
"USC00310375","GAYLORD BAY, NC US","2010-09-27",,,"1.60","0.0","0.0","92","68","71"
"USC00310375","GAYLORD BAY, NC US","2010-09-28",,,"3.30","0.0","0.0","76","70","73"
"USC00310375","GAYLORD BAY, NC US","2010-09-29",,,"0.16","0.0","0.0","81","67","73"
"USC00310375","GAYLORD BAY, NC US","2010-09-30",,,"5.50","0.0","0.0","79","69","75"
"USC00310375","GAYLORD BAY, NC US","2010-10-01",,,"5.10","0.0","0.0","79","68","69"
"USC00310375","GAYLORD BAY, NC US","2010-10-02",,,"0.00","0.0","0.0","69","58",
"USC00310375","GAYLORD BAY, NC US","2010-10-03",,,"0.00","0.0","0.0","73","61",
"USC00310375","GAYLORD BAY, NC US","2010-10-04",,,"0.16","0.0","0.0","65","58","58"
"USC00310375","GAYLORD BAY, NC US","2010-10-05",,,"0.00","0.0","0.0","65","52","53"
